Year,DrvPerPrsn15to19,DrvPerPrsn20to29,DrvPerPrsn30to54,DrvPerPrsn55to64,DrvPerPrsn65Plus
1990,0.964297211,0.955715194,0.97100277,0.99,0.934995118
1995,0.964297211,0.955715194,0.97100277,0.99,0.934995118
2000,1,1,1,1,1
2005,1,1,1,1,1
2010,0.817460922,0.94664472,0.97100277,0.99,0.934995118
2015,0.785112239,0.909183957,0.932578107,0.950823576,0.897995355
2020,0.909183957,0.909183957,0.932578107,0.950823576,0.897995355
2025,0.909183957,0.909183957,0.932578107,0.950823576,0.897995355
2030,0.909183957,0.909183957,0.932578107,0.950823576,0.897995355
2035,0.909183957,0.909183957,0.932578107,0.950823576,0.897995355
2040,0.909183957,0.909183957,0.932578107,0.950823576,0.897995355
2045,0.909183957,0.909183957,0.932578107,0.950823576,0.897995355
2050,0.909183957,0.909183957,0.932578107,0.950823576,0.897995355
