Year,CarSvcAutoPropIcev,CarSvcAutoPropHev,CarSvcAutoPropBev,CarSvcLtTrkPropIcev,CarSvcLtTrkPropHev,CarSvcLtTrkPropBev
1990,1,0,0,1,0,0
1995,1,0,0,1,0,0
2000,1,0,0,1,0,0
2005,1,0,0,1,0,0
2010,0.975,0.025,0,0.995,0.005,0
2015,0.947,0.048,0.005,0.993,0.007,0
2020,0.809,0.165,0.026,0.951,0.044,0.005
2025,0.621,0.196,0.183,0.889,0.083,0.028
2030,0.454,0.258,0.288,0.785,0.145,0.07
2035,0.391,0.297,0.312,0.688,0.192,0.12
2040,0.379,0.326,0.295,0.617,0.22,0.163
2045,0.395,0.342,0.263,0.578,0.239,0.183
2050,0.425,0.348,0.227,0.568,0.249,0.183
