VehYear,AutoSalesDriverlessProp,LtTrkSalesDriverlessProp,LowCarSvcDriverlessProp,HighCarSvcDriverlessProp,ComSvcDriverlessProp,HvyTrkDriverlessProp,PtVanDriverlessProp,BusDriverlessProp
1990,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0
2025,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075
2030,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
2035,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
2040,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
2045,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
2050,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
