Geo,Year,CENSUS_R
Metro,1990,W
Metro,1995,W
Metro,2000,W
Metro,2005,W
Metro,2010,W
Metro,2015,W
Metro,2020,W
Metro,2025,W
Metro,2030,W
Metro,2035,W
Metro,2040,W
Metro,2045,W
Metro,2050,W
Bend,1990,W
Bend,1995,W
Bend,2000,W
Bend,2005,W
Bend,2010,W
Bend,2015,W
Bend,2020,W
Bend,2025,W
Bend,2030,W
Bend,2035,W
Bend,2040,W
Bend,2045,W
Bend,2050,W
Corvallis,1990,W
Corvallis,1995,W
Corvallis,2000,W
Corvallis,2005,W
Corvallis,2010,W
Corvallis,2015,W
Corvallis,2020,W
Corvallis,2025,W
Corvallis,2030,W
Corvallis,2035,W
Corvallis,2040,W
Corvallis,2045,W
Corvallis,2050,W
EugeneSpringfield,1990,W
EugeneSpringfield,1995,W
EugeneSpringfield,2000,W
EugeneSpringfield,2005,W
EugeneSpringfield,2010,W
EugeneSpringfield,2015,W
EugeneSpringfield,2020,W
EugeneSpringfield,2025,W
EugeneSpringfield,2030,W
EugeneSpringfield,2035,W
EugeneSpringfield,2040,W
EugeneSpringfield,2045,W
EugeneSpringfield,2050,W
RogueValley,1990,W
RogueValley,1995,W
RogueValley,2000,W
RogueValley,2005,W
RogueValley,2010,W
RogueValley,2015,W
RogueValley,2020,W
RogueValley,2025,W
RogueValley,2030,W
RogueValley,2035,W
RogueValley,2040,W
RogueValley,2045,W
RogueValley,2050,W
SalemKeizer,1990,W
SalemKeizer,1995,W
SalemKeizer,2000,W
SalemKeizer,2005,W
SalemKeizer,2010,W
SalemKeizer,2015,W
SalemKeizer,2020,W
SalemKeizer,2025,W
SalemKeizer,2030,W
SalemKeizer,2035,W
SalemKeizer,2040,W
SalemKeizer,2045,W
SalemKeizer,2050,W
Albany,1990,W
Albany,1995,W
Albany,2000,W
Albany,2005,W
Albany,2010,W
Albany,2015,W
Albany,2020,W
Albany,2025,W
Albany,2030,W
Albany,2035,W
Albany,2040,W
Albany,2045,W
Albany,2050,W
GrantsPass,1990,W
GrantsPass,1995,W
GrantsPass,2000,W
GrantsPass,2005,W
GrantsPass,2010,W
GrantsPass,2015,W
GrantsPass,2020,W
GrantsPass,2025,W
GrantsPass,2030,W
GrantsPass,2035,W
GrantsPass,2040,W
GrantsPass,2045,W
GrantsPass,2050,W
None,1990,W
None,1995,W
None,2000,W
None,2005,W
None,2010,W
None,2015,W
None,2020,W
None,2025,W
None,2030,W
None,2035,W
None,2040,W
None,2045,W
None,2050,W
